,ABAB型
あちこち,相反的，颠倒的，言行不一的；（代）处处，到处
いきいき,活泼，栩栩如生，生动
いちいち,逐一，逐个；全部
いよいよ,终于，到底；越加，更加；确实，果真；关键时刻
いらいら,焦急，焦躁，坐立不安；刺痛
うろうろ,徘徊，无目标的走来走去；心神不定，急得团团转
おのおの,各个，各自
かたがた,一方面，不管怎样，无论如何
しばしば,屡次，再三，一再
じょじょに,慢慢地，渐渐地，徐徐地
すきずき,各有所好
せいぜい,至多，充其量；尽力，尽可能
ぞくぞく,心情激动；浑身发冷；（続々）连续，继续，不断
それぞれ,各个，各自，每个
そろそろ,就要，不久；渐渐地，逐渐；安静而缓慢地
たびたび,屡次，多次，再三
たまたま,偶尔，有时；碰巧，偶然
だんだん,逐渐，渐渐
ちかぢか,最近，不久；直接，近距离地
つぎつぎに,依次，顺次，陆续，接连不断地
でこぼこ,凹凸不平；不一致，不均衡
てんてん,点点，星星点点状；滴落状；滚动状；辗转
とうとう,终于，终究，结局，到头；咚咚声；坦荡，荡荡；滔滔不绝，水势滔滔
ときどき,时时，有时
どんどん,连续不断貌；事物进展顺利貌；强烈的敲击声
なかなか,相当，很；（接否定）不轻易......不容易......
にこにこ,笑嘻嘻地，高兴微笑状
のろのろ,动作迟缓，不敏捷，事物进展缓慢
はきはき,聪敏，干脆，爽快
ぴかぴか,闪闪，反复发光的样子；光亮，亮；刚刚成为，簇新
ひろびろ,开阔，广阔，辽阔
ぶつぶつ,嘟哝，发牢骚，抱怨；零零碎碎；布满细小粒状物的样子
ふわふわ,轻飘飘的样子；心情浮躁；柔软，松软的样子
べつべつ,分开，各自
まあまあ,好了好了，得了；大致，还算；哎呦
まごまご,不知所措，手忙脚乱，张皇失措
ますます,越发，更加
めいめい,各自，各个，每个人
もともと,原本，本来
ゆうゆう,悠闲；遥远，广阔
じゅんじゅん,按顺序，依次；谨慎，惶恐；谆谆
しょうしょう,稍许，一点
ちゃくちゃく,稳健而顺利地
ところどころ,处处，到处
めちゃくちゃ,胡说八道，乱七八糟，一塌糊涂
,っと型副词
きっと,一定，必然さっき，刚刚，刚才
ざっと,大致，粗略
すっと,轻快地；顺利地；细长笔直地
ずっと,一直；更......
そっと,静静；悄悄地；不触及，照原样
たった,只，仅仅
どっと,许多人一起发声音；突然大量增加；突然病重
もっと,更加，进一步
やっと,终于，好不容易，勉勉强强
,副词 ~り
あまり,不大......不怎么......（接否定）；很......
かなり,相当，很，颇
ずらり,一长排，一长队
つまり,总之，归根结底，也就是说
ぴたり,突然停止，紧紧贴着
やはり,依然，仍然；也，同样；果然；到底还是
あんまり,"""あまり的口语"""
いきなり,突然，冷不防
うっかり,稀里糊涂，不注意
がっかり,失望，颓丧，精疲力竭
ぎっしり,挤得满满的，装的满满的
ぐっすり,熟睡貌，酣睡
こっそり,悄悄的，偷偷的，暗暗的
さっぱり,（后接否定）完全不......一点不......；完全
しっかり,紧紧的，充分的
すっかり,无一例外，全部；完全
すっきり,痛快，无烦心事；流畅，通畅
そっくり,全部，完全；照原样，一模一样
たっぷり,足够，足足；宽绰，绰绰有余
にっこり,微笑，莞尔，高兴微笑貌
のんびり,舒舒服服，无忧无虑
はっきり,清楚，分明；清爽，爽快；干脆，直截了当
ばったり,突然掉下；突然中断；意外相遇
びっくり,吃惊，受惊
ぴったり,紧密的，严实的；急速停止状；恰好，合适；完全一致，正中
ぼんやり,不清楚，模模糊糊；无所事事，缺乏活力；发呆状
めっきり,显著，明显
やっぱり,仍然；果然；到底还是，毕竟还是
ゆっくり,不着急，慢慢；有余的，充裕的；舒畅，安静，舒适
おもいきり,下狠心，狠狠的，尽量的，尽情的
おもいっきり,（おもいきり的口语）
,一~型副词
一応【いちおう】,大致，大体·首先，暂且
一時【いちじ】,一时，同时，一下子，一起·暂时
一段と【いちたんと】,更加，越发
一度に【いちどに】,同时，一下子
一番【いちばん】,最，最好·试试，试一下
一部【いちぶ】,一部分
一種【いっしゅ】,稍微
一瞬【いっしゅん】,一刹那，一瞬间
一層【いっそう】,越发，更加
一体【いったい】,究竟，到底·总的来说，一般来讲
一斉に【いっせいに】,一齐，同时
一般に【いっぱんに】,一般的，普遍的
一定【いってい】,一定，适度
一方【いっぽう】,另一方面，又
一生懸命【いっしょうげんめい】,拼命，努力
万一【まんいち】,万一，假如
再三【さいさん】,屡次，再三
第一に【だいいちに】,首先
,~に型副词
いまに,不久，即将，早晚；至今，直到现在
おもに,只要，大部分，多半
げんに,实际上，现实上，真实地；严格，严厉，强烈的
さきに,不久前，从前，以前
さらに,再，进一步；将，更加；愈发；（接否定）一点也（不）
じかに,直接地
じつに,的确，实在，简直
すぐに,立即，马上；（距离，关系）非常靠近，很近
すでに,已经，早就；以前，以往
たまに,有时，偶尔
たんに,只，仅，单
つねに,平时，常常，经常
とくに,特别，特
ともに,一起，共同，同时
べつに,另外，除外；（后接否定）特别，显著
まさに,的确，确实；可以说......当然，应当
わりに,比较地，意外
いちどに,同时，一下子，一起
おおいに,很，甚，非常，很多
かわりに,取代，作为补偿；但，不过
きゅうに,急忙，突然
しきりに,频繁，屡次，不断；热心地，强烈地
しだいに,逐渐地，慢慢地
たしかに,确实
ただちに,立刻，马上；直接
とっくに,很早，已经
とたんに,突然
にわかに,突然，骤然，冷不防；马上，立刻；病情骤变
はじめに,最初，最先
めったに,（后接否定）几乎不......很少......
やたらに,胡乱地，任意地，随便地
あんなに,那么地，那样地
こんなに,这样地，这么地
そんなに,那么地，那样地
どんなに,哪样地
あきらかに,明亮地，清楚地，没有疑问地
いっせいに,一齐，同时
おたがいに,互相，相互；轮流，交替
ひじょうに,非常
ひっしに,拼命地，死命地
ひとりでに,自然地，自动地
まっさきに,最先，首先
ようするに,总之，综上所述，归根结蒂
わりあいに,比较地，意外地
,其他副词
いわば,可以说，就好比是うんと很多地，用力
およそ,大约，大体；（后接否定）根本不，全然不，完全不
さすが,到底，还是；的确，到底是，真不愧是
じつは,实际上，老实说
すべて,所有，全部，一切
せめて,至少；总算，还算
たしか,确实，的确；似乎，大概
たぶん,恐怕，大概
どうか,请，务必；设法；是否
どうせ,反正，无论如何，无论怎样
どうも,总觉得，总有些；（接否定）怎么也不......；大概，仿佛
どこか,哪里；总觉得，不由得
どんな,什么样的，怎样的
ふだん,平时，日常
ふつう,一般，通常
ほんの,一点点，些许，仅仅
まさか,万万没想到；后接否定，怎能，决不
まるで,好像，宛如；后接否定，完全，简直
むしろ,倒不如......，宁可
もしも,假如，万一
やがて,不久，最近；大约，大致，差不多；结果，结局，归根结底
よけい,更加，愈加，格外
わざと,故意的，有意的
わりと,比较地，意外地